2025-12-24 10:50:17.025 [info] [CursorProclistService] Native module loaded successfully
2025-12-24 10:50:17.052 [info] updateURL https://api2.cursor.sh/updates/api/update/linux-x64/cursor/2.1.50/ab794c19fedb1627b03a00ad16493031d91610ffd32bf0d51dbedd5a5feab6b8/stable
2025-12-24 10:50:17.052 [info] update#setState idle
2025-12-24 15:22:20.513 [info] [CursorProclistService] Sample 53 created: 17 processes, 31 subsamples
2025-12-24 15:27:20.506 [info] [CursorProclistService] Sample 54 created: 17 processes, 31 subsamples
2025-12-24 15:32:20.506 [info] [CursorProclistService] Sample 55 created: 17 processes, 31 subsamples
2025-12-24 15:37:20.508 [info] [CursorProclistService] Sample 56 created: 17 processes, 31 subsamples
2025-12-24 15:42:20.517 [info] [CursorProclistService] Sample 57 created: 17 processes, 31 subsamples
2025-12-24 15:47:20.506 [info] [CursorProclistService] Sample 58 created: 17 processes, 31 subsamples
2025-12-24 15:52:20.506 [info] [CursorProclistService] Sample 59 created: 17 processes, 31 subsamples
2025-12-24 15:57:20.507 [info] [CursorProclistService] Sample 60 created: 17 processes, 31 subsamples
2025-12-24 16:02:20.505 [info] [CursorProclistService] Sample 61 created: 17 processes, 31 subsamples
2025-12-24 16:07:20.508 [info] [CursorProclistService] Sample 62 created: 18 processes, 31 subsamples
2025-12-24 16:12:20.505 [info] [CursorProclistService] Sample 63 created: 17 processes, 31 subsamples
2025-12-24 16:17:20.505 [info] [CursorProclistService] Sample 64 created: 17 processes, 31 subsamples
2025-12-24 16:22:20.510 [info] [CursorProclistService] Sample 65 created: 17 processes, 31 subsamples
2025-12-24 16:27:20.506 [info] [CursorProclistService] Sample 66 created: 17 processes, 31 subsamples
2025-12-24 16:32:20.505 [info] [CursorProclistService] Sample 67 created: 17 processes, 31 subsamples
2025-12-24 16:37:20.504 [info] [CursorProclistService] Sample 68 created: 17 processes, 31 subsamples
2025-12-24 16:42:20.504 [info] [CursorProclistService] Sample 69 created: 17 processes, 31 subsamples
2025-12-24 16:47:20.506 [info] [CursorProclistService] Sample 70 created: 19 processes, 31 subsamples
2025-12-24 16:52:20.507 [info] [CursorProclistService] Sample 71 created: 17 processes, 31 subsamples
2025-12-24 16:57:20.510 [info] [CursorProclistService] Sample 72 created: 17 processes, 31 subsamples
2025-12-24 17:02:20.510 [info] [CursorProclistService] Sample 73 created: 17 processes, 31 subsamples
2025-12-24 17:04:49.122 [warning] [BrowserViewMainService] Cannot flush storage data: browser view not created for window 1
2025-12-24 17:04:49.181 [warning] [BrowserViewMainService] Cannot set visibility: browser view not created for window 1
2025-12-24 17:04:49.238 [info] Extension host with pid 20305 exited with code: 0, signal: unknown.
2025-12-24 17:04:49.439 [error] [UtilityProcess id: 1, type: fileWatcher, pid: 20276]: crashed with code 15 and reason 'killed'
